titleID	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	availabilityStart	availabilityEnd
tt2191605	movie	Addict	Addict	0	2013	\N	92	Drama	2021-01-12T00:00:00	2022-11-01T00:00:00
tt2199508	movie	Chameleon	Chameleon	0	2012	\N	\N	Horror	2021-11-24T00:00:00	2022-10-05T00:00:00
tt2210443	movie	Asuravithu	Asuravithu	0	2012	\N	139	Action	2021-12-15T00:00:00	2022-04-20T00:00:00
tt2219156	movie	Indian Dreams	Indian Dreams	0	2012	\N	91	"Adventure,Documentary"	2021-07-09T00:00:00	2022-11-15T00:00:00
tt2230266	movie	The Warning Time	Tie nan ben se	0	2000	\N	92	Action	2021-03-18T00:00:00	2022-01-14T00:00:00
tt2238993	movie	Working Work Out	Working Work Out	0	1983	\N	57	Documentary	2021-12-07T00:00:00	2022-04-15T00:00:00
tt2247910	movie	Stab 5	Stab 5	0	2011	\N	95	Horror	2021-10-04T00:00:00	2022-02-15T00:00:00
tt2257700	movie	Il treno va a Mosca	Il treno va a Mosca	0	2013	\N	70	Documentary	2021-05-08T00:00:00	2022-10-13T00:00:00
tt2266657	movie	Spell	Afsoon	0	1989	\N	\N	Comedy	2021-02-28T00:00:00	2022-12-26T00:00:00
tt2276404	movie	Hvorledes jeg kom til Filmen	Hvorledes jeg kom til Filmen	0	1919	\N	\N	Comedy	2021-12-09T00:00:00	2022-11-16T00:00:00
tt2287959	movie	Passion	Passion	0	1990	\N	54	"Biography,Documentary"	2021-06-14T00:00:00	2022-10-29T00:00:00
tt2295196	movie	Hunting Elephants	Hunting Elephants	0	2013	\N	107	"Comedy,Crime,Drama"	2021-10-04T00:00:00	2022-03-24T00:00:00
tt2304743	movie	Lejos de Saint Nazaire	Lejos de Saint Nazaire	0	2011	\N	52	"Documentary,Drama"	2021-11-22T00:00:00	2022-02-12T00:00:00
tt2315610	movie	The Last Shepherd	L'ultimo pastore	0	2012	\N	76	Documentary	2021-04-04T00:00:00	2022-02-03T00:00:00
tt2322034	movie	Der Rubin des Maharadscha	Der Rubin des Maharadscha	0	1917	\N	\N	Drama	2021-01-09T00:00:00	2022-02-14T00:00:00
tt2328952	movie	Amerikanac	Amerikanac	0	1995	\N	75	Drama	2021-10-25T00:00:00	2022-12-03T00:00:00
tt2338044	movie	Chicama	Chicama	0	2013	\N	75	Drama	2021-07-10T00:00:00	2022-08-29T00:00:00
tt2347259	movie	ARD-Legenden Joachim Fuchsberger	ARD-Legenden Joachim Fuchsberger	0	2012	\N	\N	Documentary	2021-01-31T00:00:00	2022-08-02T00:00:00
tt2356140	movie	Winston Churchill. Ot lubvi do nenavisti	Winston Churchill. Ot lubvi do nenavisti	0	2004	\N	\N	Biography	2021-08-31T00:00:00	2022-02-21T00:00:00
tt2363355	movie	Qui êtes-vous Paul Vecchiali?	Qui êtes-vous Paul Vecchiali?	0	2012	\N	\N	Documentary	2021-02-03T00:00:00	2022-02-21T00:00:00
tt2371046	movie	"Saving 10,000: Winning a War on Suicide in Japan"	"Saving 10,000: Winning a War on Suicide in Japan"	0	2012	\N	68	"Documentary,News"	2021-01-03T00:00:00	2022-12-27T00:00:00
tt2378706	movie	Weil Heute Dein Geburtstag Ist - 100 Jahre Erich	Weil Heute Dein Geburtstag Ist - 100 Jahre Erich	0	2012	\N	89	"Biography,Documentary,History"	2021-08-14T00:00:00	2022-07-27T00:00:00
tt2387411	movie	Candle to Water	Candle to Water	0	2012	\N	110	Drama	2021-04-02T00:00:00	2022-05-07T00:00:00
tt2395385	movie	1	1	0	2013	\N	96	"Romance,Sci-Fi,Thriller"	2021-06-21T00:00:00	2022-10-11T00:00:00
tt2401912	movie	A Song for Mama	Une chanson pour ma mère	0	2013	\N	95	Comedy	2021-02-06T00:00:00	2022-04-25T00:00:00
tt2410758	movie	Undervandsbaaden	Undervandsbaaden	0	1914	\N	\N	Drama	2021-04-29T00:00:00	2022-02-11T00:00:00
tt2424198	movie	Sonhos Brasileiros	Sonhos Brasileiros	0	1991	\N	57	Documentary	2021-01-07T00:00:00	2022-12-08T00:00:00
tt2438620	movie	Umbrella	Umbrella	0	2012	\N	\N	Drama	2021-11-20T00:00:00	2022-03-16T00:00:00
tt2456184	movie	Mr. Rascal	Mr. Rascal	0	2011	\N	\N	Romance	2021-08-22T00:00:00	2022-09-09T00:00:00
tt2468498	movie	Club Lingerie	Club Lingerie	0	2014	\N	82	"Comedy,Horror,Mystery"	2021-06-09T00:00:00	2022-02-15T00:00:00
tt2486744	movie	Panopticon	Panopticon	0	2012	\N	60	"Documentary,News"	2021-05-09T00:00:00	2022-09-01T00:00:00
tt2506394	movie	The Oscar Nominated Short Films 2009: Live Action	The Oscar Nominated Short Films 2009: Live Action	0	2009	\N	94	\N	2021-01-14T00:00:00	2022-06-22T00:00:00
tt2521776	movie	Re-emerging: The Jews of Nigeria	Re-emerging: The Jews of Nigeria	0	2012	\N	93	"Documentary,History"	2021-08-25T00:00:00	2022-07-31T00:00:00
tt2537390	movie	Slow Learners	Slow Learners	0	2015	\N	96	"Comedy,Romance"	2021-08-11T00:00:00	2022-09-27T00:00:00
tt2555494	movie	Ali Baba and the Pirates	Alì Babà e i pirati	0	1997	\N	80	Animation	2021-04-06T00:00:00	2022-09-21T00:00:00
tt2570858	movie	The Duke of Burgundy	The Duke of Burgundy	0	2014	\N	104	"Drama,Romance"	2021-05-16T00:00:00	2022-10-21T00:00:00
tt2584018	movie	Freedom	Freedom	0	2014	\N	94	"Drama,Music"	2021-05-19T00:00:00	2022-11-18T00:00:00
tt2607614	movie	Terror in Woods Creek	Deadlines	0	2017	\N	91	"Horror,Thriller"	2021-01-31T00:00:00	2022-08-16T00:00:00
tt2623062	movie	Long June	Long June	0	1996	\N	97	Drama	2021-02-08T00:00:00	2022-04-04T00:00:00
tt2637720	movie	Ghost Adventures	Ghost Adventures	0	2004	\N	87	Documentary	2021-07-14T00:00:00	2022-08-07T00:00:00
tt2652044	movie	Gekishin! Shimai rape	Gekishin! Shimai rape	0	1991	\N	60	\N	2021-03-18T00:00:00	2022-12-15T00:00:00
tt2669348	movie	Mom	Mom	0	2013	\N	83	Drama	2021-09-05T00:00:00	2022-11-15T00:00:00
tt2693114	movie	Amnesiac	Amnesiac	0	2013	\N	90	"Drama,Horror,Thriller"	2021-09-12T00:00:00	2022-03-07T00:00:00
tt2713558	movie	The Magic Hand of Chance	The Magic Hand of Chance	0	2012	\N	51	"Comedy,Family"	2021-08-29T00:00:00	2022-08-16T00:00:00
tt2729904	movie	Défense de la France	Défense de la France	0	2007	\N	86	History	2021-02-03T00:00:00	2022-02-08T00:00:00
tt2749258	movie	Somebody Marry Me	Somebody Marry Me	0	2013	\N	101	"Comedy,Romance"	2021-05-02T00:00:00	2022-06-23T00:00:00
tt2769814	movie	Torment	Torment	0	1990	\N	86	Thriller	2021-04-24T00:00:00	2022-07-22T00:00:00
tt2784730	movie	Charlotte	Charlotte	0	2005	\N	155	Thriller	2021-05-16T00:00:00	2022-11-10T00:00:00
tt2803502	movie	Intimate Semaphores	Intimate Semaphores	0	2014	\N	56	"Comedy,Drama"	2021-07-15T00:00:00	2022-08-04T00:00:00
tt2825230	movie	Blood Punch	Blood Punch	0	2014	\N	104	"Horror,Thriller"	2021-08-30T00:00:00	2022-07-15T00:00:00
tt2846966	movie	The Gettysburg Story	The Gettysburg Story	0	2013	\N	60	Documentary	2021-04-13T00:00:00	2022-10-21T00:00:00
tt2866372	movie	The Secret World of Plants	The Secret World of Plants	0	2003	\N	55	Documentary	2021-12-23T00:00:00	2022-07-04T00:00:00
tt2889210	movie	The Vine	The Vine	0	2013	\N	106	"Fantasy,Mystery,Romance"	2021-12-04T00:00:00	2022-11-25T00:00:00
tt2910814	movie	The Signal	The Signal	0	2014	\N	97	"Drama,Mystery,Sci-Fi"	2021-06-07T00:00:00	2022-03-02T00:00:00
tt2930026	movie	Humraah: The Traitor	Humraah: The Traitor	0	2008	\N	\N	Thriller	2021-05-03T00:00:00	2022-08-31T00:00:00
tt2945638	movie	Oyomeni yukimasu	Oyomeni yukimasu	0	1978	\N	89	Comedy	2021-04-21T00:00:00	2022-08-24T00:00:00
tt2960438	movie	Ekpyrosis	Ekpyrosis	0	2013	\N	67	"Biography,Documentary,Drama"	2021-06-08T00:00:00	2022-01-25T00:00:00
tt2978150	movie	Kavata Andare	Kavata Andare	0	1960	\N	\N	Drama	2021-04-15T00:00:00	2022-04-08T00:00:00
tt2994920	movie	Young Love	Young Love	0	2013	\N	\N	Comedy	2021-06-06T00:00:00	2022-02-20T00:00:00
tt3014598	movie	Romansa	Romansa	0	2013	\N	60	Drama	2021-03-13T00:00:00	2022-11-16T00:00:00
tt3037288	movie	Tres mentiras	Tres mentiras	0	2014	\N	95	"Drama,Thriller"	2021-06-09T00:00:00	2022-05-15T00:00:00
tt3060346	movie	The 30 Year Old Bris	The 30 Year Old Bris	0	2014	\N	\N	Comedy	2021-04-07T00:00:00	2022-12-23T00:00:00
tt3076940	movie	Children of the Gun	Children of the Gun	0	\N	\N	\N	Action	2021-12-03T00:00:00	2022-09-12T00:00:00
